Bay Minette|AL|30.88296|-87.77305|9118
Edna|TX|28.97859|-96.64609|5792
Bayou La Batre|AL|30.40352|-88.24852|2621
Henderson|TX|32.15322|-94.79938|13529
Fort Hunt|VA|38.73289|-77.05803|16045
Brighton|AL|33.43428|-86.94721|2862
Trinity|FL|28.18085|-82.68177|10907
Villas|FL|26.55035|-81.8687|11569
Bessemer|AL|33.40178|-86.95444|26730
Aurora|IN|39.057|-84.90134|3701
Paducah|KY|37.08339|-88.60005|24864
Monticello|LA|32.59653|-91.394|4718
Red Chute|LA|32.55598|-93.61323|6261
Jessup|MD|39.14927|-76.77525|7137
Birmingham|AL|33.52066|-86.80249|196357
Delhi Hills|OH|39.09284|-84.61272|5259
Turpin Hills|OH|39.11006|-84.37994|5099
Lugoff|SC|34.22737|-80.68925|7434
Cordova|TN|35.15565|-89.7762|68779
Buda|TX|30.08521|-97.84028|13705
Boaz|AL|34.20065|-86.16637|9688
Brent|AL|32.93735|-87.16472|4898
Brewton|AL|31.10518|-87.07219|5434
Brook Highland|AL|33.43566|-86.67388|6746
Cahaba Heights|AL|33.464|-86.73193|5287
Calera|AL|33.1029|-86.7536|13213
Center Point|AL|33.64566|-86.6836|16655
Centre|AL|34.15204|-85.67885|3570
Centreville|AL|32.9462|-87.11669|2704
Chalkville|AL|33.65316|-86.64777|3901
Chelsea|AL|33.34011|-86.63026|12059
Chickasaw|AL|30.7638|-88.07472|5954
Childersburg|AL|33.27817|-86.35498|5046
Choccolocco|AL|33.65927|-85.70357|2804
Citronelle|AL|31.09073|-88.22806|3887
Clanton|AL|32.83874|-86.62943|8844
Clay|AL|33.7026|-86.59971|9655
Clayton|AL|31.87822|-85.44966|2925
Columbiana|AL|33.17817|-86.60721|4168
Cullman|AL|34.17482|-86.84361|15350
Dadeville|AL|32.83124|-85.76357|3150
Daleville|AL|31.31017|-85.71299|5141
Danville|AL|34.41454|-87.08751|6242
Daphne|AL|30.60353|-87.9036|24896
Decatur|AL|34.60593|-86.98334|55437
Demopolis|AL|32.51764|-87.8364|7148
Dothan|AL|31.22323|-85.39049|68567
East Florence|AL|34.80953|-87.64947|35733
Enterprise|AL|31.31517|-85.85522|27978
Eufaula|AL|31.89127|-85.14549|12596
Eutaw|AL|32.84059|-87.88762|2766
Evergreen|AL|31.4335|-86.95692|3774
Fairfield|AL|33.48594|-86.91194|10907
Fairhope|AL|30.52297|-87.90333|18730
Fayette|AL|33.68455|-87.83085|4490
Florence|AL|34.79981|-87.67725|40026
Foley|AL|30.40659|-87.6836|17218
Forestdale|AL|33.57011|-86.89638|10162
Fort Payne|AL|34.44425|-85.71969|14150
Fultondale|AL|33.60483|-86.79388|9048
Gadsden|AL|34.01434|-86.00639|36084
Gardendale|AL|33.6601|-86.81277|13711
Geneva|AL|31.03296|-85.86382|4460
Glencoe|AL|33.95704|-85.93247|5153
Grand Bay|AL|30.47631|-88.34223|3672
Grayson Valley|AL|33.64816|-86.63943|5736
Greenville|AL|31.8296|-86.61775|7845
Gulf Shores|AL|30.24604|-87.70082|11131
Guntersville|AL|34.35823|-86.29446|8385
Haleyville|AL|34.22649|-87.62141|4088
Hamilton|AL|34.14232|-87.98864|6772
Hanceville|AL|34.06065|-86.7675|3281
Hartford|AL|31.1024|-85.69688|2647
Hartselle|AL|34.44343|-86.93528|14493
Harvest|AL|34.85564|-86.75083|5281
Hazel Green|AL|34.93231|-86.57194|3630
Headland|AL|31.35128|-85.34216|4736
Heflin|AL|33.64899|-85.58746|3499
Helena|AL|33.29622|-86.8436|18264
Hokes Bluff|AL|33.99815|-85.86636|4301
Holt|AL|33.23401|-87.48445|3638
Holtville|AL|32.63624|-86.32664|4096
Homewood|AL|33.47177|-86.80082|25708
Hoover|AL|33.40539|-86.81138|84848
Horton|AL|34.20093|-86.29692|4450
Hueytown|AL|33.45122|-86.99666|15710
Huguley|AL|32.83457|-85.22966|2540
Huntsville|AL|34.7304|-86.58594|215006
Indian Springs Village|AL|33.35539|-86.75443|2523
Irondale|AL|33.53816|-86.70721|12423
Jackson|AL|31.50905|-87.89444|4967
Jacksonville|AL|33.81382|-85.7613|12222
Jasper|AL|33.83122|-87.27751|14071
Jemison|AL|32.95985|-86.74665|2619
Kimberly|AL|33.77344|-86.81388|2892
Ladonia|AL|32.4682|-85.0791|3142
Lafayette|AL|32.89985|-85.40106|3003
Lake Purdy|AL|33.43011|-86.68054|7857
Lanett|AL|32.86874|-85.1905|6452
Leeds|AL|33.54816|-86.54443|11936
Lincoln|AL|33.61316|-86.11831|6524
Livingston|AL|32.5843|-88.18725|3414
Luverne|AL|31.71655|-86.26385|2834
Madison|AL|34.69926|-86.74833|46962
Margaret|AL|33.68621|-86.47498|4554
Marion|AL|32.63235|-87.31917|3447
Meadowbrook|AL|33.40205|-86.69665|8769
Meridianville|AL|34.85148|-86.57222|6021
Midfield|AL|33.4615|-86.90888|5222
Millbrook|AL|32.47986|-86.36192|15314
Mobile|AL|30.69436|-88.04305|183289
Monroeville|AL|31.52794|-87.32471|6110
Montevallo|AL|33.10067|-86.86416|6648
Montgomery|AL|32.36681|-86.29997|195287
Moody|AL|33.59094|-86.49082|12593
Moores Mill|AL|34.84398|-86.51832|5682
Moulton|AL|34.48121|-87.29335|3337
Mount Olive|AL|33.67094|-86.8561|4079
Mountain Brook|AL|33.50094|-86.75221|20691
Muscle Shoals|AL|34.74481|-87.66753|13706
New Hope|AL|34.53712|-86.39426|2800
Northport|AL|33.22901|-87.57723|24772
Odenville|AL|33.67732|-86.39665|3695
Opelika|AL|32.64541|-85.37828|29527
Oneonta|AL|33.94815|-86.47276|6615
Opp|AL|31.28267|-86.25551|6658
Orange Beach|AL|30.29437|-87.57359|5850
Oxford|AL|33.61427|-85.83496|21249
Ozark|AL|31.45906|-85.64049|14719
Pelham|AL|33.28567|-86.80999|22885
Pell City|AL|33.58621|-86.28609|13646
Phenix City|AL|32.47098|-85.00077|37570
Piedmont|AL|33.92455|-85.61135|4714
Pike Road|AL|32.28431|-86.10302|8274
Pine Level|AL|32.58374|-86.46553|4183
Pinson|AL|33.68899|-86.68332|7438
Pleasant Grove|AL|33.49094|-86.97027|10260
Prattville|AL|32.46402|-86.4597|35420
Priceville|AL|34.52509|-86.89473|3179
Prichard|AL|30.7388|-88.07889|22351
Rainbow City|AL|33.95482|-86.04192|9580
Rainsville|AL|34.49425|-85.84775|5031
Red Bay|AL|34.43982|-88.14087|3131
Roanoke|AL|33.15123|-85.37217|6005
Robertsdale|AL|30.5538|-87.71193|5894
Russellville|AL|34.50787|-87.72864|9847
Saks|AL|33.69871|-85.83969|10744
Saraland|AL|30.82074|-88.07056|13906
Satsuma|AL|30.85324|-88.05611|6182
Scottsboro|AL|34.67231|-86.03415|14722
Selma|AL|32.40736|-87.0211|19519
Semmes|AL|30.77824|-88.25917|3886
Sheffield|AL|34.76509|-87.69864|9108
Smiths Station|AL|32.54014|-85.09855|5300
Southside|AL|33.92454|-86.02247|8572
